TOKEN	WEIGHT
How	-0.008277881226823436
bonds	-0.008251479628973964
Agriculture	-0.008249900174971007
close	-0.00824759824263869
agencies	-0.008246559746924132
amended	-0.008242055242931527
original	-0.008233133802501564
12	-0.008217755378329942
votes	-0.008209995053409823
merely	-0.008186607866669793
cause	-0.008183219527897283
hear	-0.008174973200595114
reduction	-0.00817330401928902
giving	-0.008164372983247993
cotton	-0.008158775255572697
understanding	-0.008158763202238848
Board	-0.008153908436772089
Supreme	-0.008153284677429512
civil	-0.008137689871246778
officer	-0.008128946090648676
With	-0.008118066269628226
particularly	-0.008109665723709572
revenue	-0.008106753979237073
Affairs	-0.008104562911976625
River	-0.008093876235487341
clerk	-0.008091338187956139
constitutional	-0.008078313602100587
interested	-0.008075651388048164
similar	-0.008062577965590925
gold	-0.008060843747458132
instead	-0.008058273847077208
silver	-0.008057333995295521
class	-0.008054498114471285
Bureau	-0.008044716832800149
experience	-0.008033177877857733
young	-0.008006883739091494
average	-0.007990944092631135
higher	-0.007974138297158397
placed	-0.007973065190068681
trust	-0.007962697268050134
Florida	-0.007953900946069485
live	-0.007950358820117577
duties	-0.007948944173903672
level	-0.007936907558723968
March	-0.007923711337884125
Georgia	-0.007911923902453825
8	-0.007907786685211476
investigation	-0.007904706099677125
based	-0.007878902053641184
Wisconsin	-0.007875781566853611
Public	-0.007872746054658493
capital	-0.007861504937813294
carried	-0.007856207590627358
financial	-0.007847944887978865
legal	-0.007842787711591203
research	-0.00782756751656468
nearly	-0.007823510227218396
operation	-0.007819435058039328
resources	-0.007795124299506061
transportation	-0.007795070015806048
commerce	-0.007790720591806346
opposed	-0.007777681134761052
face	-0.007774692902061124
reduce	-0.007770042172130805
glad	-0.0077671331362961305
seen	-0.007756683855362627
workers	-0.007755426352033524
January	-0.007739006537153575
reasons	-0.007736181269442911
approved	-0.007729175307061288
organization	-0.007722896653659359
account	-0.007695518416557261
insurance	-0.007688420750960769
While	-0.007669323120205246
though	-0.007667469575454058
food	-0.007657529499653996
honor	-0.007641427196623687
R.	-0.007638716843736156
raised	-0.007620490089897903
direct	-0.007618647164092677
gone	-0.007609089882857776
7	-0.007605598689970409
Mexico	-0.007600227176178887
manner	-0.007582966643193728
getting	-0.007579995288561497
projects	-0.007565131355078523
Certainly	-0.007564596603535051
payment	-0.0075642947089731545
yesterday	-0.007552215669367792
serve	-0.007535003871372723
sum	-0.007527382243760373
tile	-0.007526916603177781
hours	-0.007523976410210865
Administration	-0.007522222272761096
short	-0.007520287604048703
return	-0.007514039776947367
railroad	-0.007489700069183176
25	-0.0074875258024397606
effective	-0.007485608421068447
July	-0.007479897227768506
population	-0.007459948625073021
Alabama	-0.0074589205540153535
Clerk	-0.007457919118962275
living	-0.007456116747571123
intended	-0.007440842708305066
field	-0.007434942032384784
ships	-0.007427322756227776
submitted	-0.007426391429627167
opposition	-0.007424598462654768
..	-0.0074240565845111895
add	-0.007422680064644455
veterans	-0.007420724959072462
beginning	-0.007412948593219067
subcommittee	-0.0074109674929667465
Presidents	-0.007408919088432535
complete	-0.007404799626454706
reasonable	-0.0073974889745701145
reports	-0.007384935538859646
idea	-0.007384899036146379
lines	-0.007379922736864155
freedom	-0.0073788619858081396
importance	-0.007371473434709643
activities	-0.007365625340729696
wanted	-0.0073605304006822405
join	-0.007346051055441468
jobs	-0.007342007525230529
wrong	-0.007312800234963056
First	-0.0072959027274595075
above	-0.007282251867553706
recognize	-0.007279295644208921
absolutely	-0.0072649010237855315
lives	-0.007262919424062237
try	-0.007260766074176988
dollar	-0.0072581080509888304
fully	-0.007255605249636427
jurisdiction	-0.007253671741037076
facilities	-0.007242229857483673
hands	-0.0072380331062330905
His	-0.00723676808265738
loss	-0.007219421734083266
justice	-0.007213399444415434
beyond	-0.007183914042591163
farmer	-0.0071823437970566185
paragraph	-0.007172191777310025
agricultural	-0.007165166656455985
roll	-0.007131283300265606
accept	-0.007129392485777913
Kansas	-0.007128708633447802
raise	-0.007127861937780822
Kentucky	-0.007117131218333249
figures	-0.007113677858315509
although	-0.007095371447806403
late	-0.007095044152864837
limited	-0.007093562732350917
gave	-0.007088249661365079
